Station,Drainage,State,County,Quad,Reach,RM_Start,Locality,UTM_Zone,UTM_Easting,UTM_Northing,Date Collected,year,month,Sampling_Period,Secchi_Depth,Salinity_Min,Temp_Min,Air_Temp_Min,DO_Min,Conductivity_True,Conductivity_Specific,pH_Min,Station+Haul,Haul,Depletion #,Habitat,Debris?,Gear,Electrofishing?,Closed?,Effort_m^2,NelsonNum,Family,Genus,Species,Species_Codes,"Length (SL,mm)",SumOfSPEC,SumOfREL,SumOfLarval,Stage,AgeClass,VIE Colors,VIE Locations,Projects
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-5,5,,MCSHRU,,regular,,,29.75,76,Cyprinidae,Cyprinella,lutrensis,CYPLUT,,15,15,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-5,5,,MCSHRU,,regular,,,29.75,76,Cyprinidae,Cyprinus,carpio,CYPCAR,,1,1,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-5,5,,MCSHRU,,regular,,,29.75,212,Poeciliidae,Gambusia,affinis,GAMAFF,,4,4,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-6,6,,MCSHRU,,regular,,,30.5,76,Cyprinidae,Cyprinus,carpio,CYPCAR,,3,3,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-7,7,,MCSHRU,,regular,,,31,76,Cyprinidae,Cyprinella,lutrensis,CYPLUT,,12,12,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-7,7,,MCSHRU,,regular,,,31,76,Cyprinidae,Cyprinus,carpio,CYPCAR,,4,4,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-7,7,,MCSHRU,,regular,,,31,93,Ictaluridae,Ictalurus,punctatus,ICTPUN,,1,1,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-8,8,,MCSHRU,,regular,,,27.75,76,Cyprinidae,Cyprinella,lutrensis,CYPLUT,,8,8,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-8,8,,MCSHRU,,regular,,,27.75,76,Cyprinidae,Cyprinus,carpio,CYPCAR,,1,1,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-8,8,,MCSHRU,,regular,,,27.75,93,Ictaluridae,Ictalurus,punctatus,ICTPUN,,7,7,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-9,9,,MCSHRU,,regular,,,31.25,76,Cyprinidae,Cyprinella,lutrensis,CYPLUT,,8,8,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-9,9,,MCSHRU,,regular,,,31.25,76,Cyprinidae,Cyprinus,carpio,CYPCAR,,3,3,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-9,9,,MCSHRU,,regular,,,31.25,212,Poeciliidae,Gambusia,affinis,GAMAFF,,1,1,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-10,10,,BW,,regular,,,23.75,212,Poeciliidae,Gambusia,affinis,GAMAFF,,13,13,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-11,11,,BW,,regular,,,24,76,Cyprinidae,Cyprinus,carpio,CYPCAR,,6,6,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-11,11,,BW,,regular,,,24,212,Poeciliidae,Gambusia,affinis,GAMAFF,,1,1,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-12,12,,MCSHPO,,regular,,,21.5,76,Cyprinidae,Cyprinella,lutrensis,CYPLUT,,4,4,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-12,12,,MCSHPO,,regular,,,21.5,76,Cyprinidae,Cyprinus,carpio,CYPCAR,,4,4,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-13,13,,MCSHPO,,regular,,,21,76,Cyprinidae,Cyprinella,lutrensis,CYPLUT,,8,8,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-13,13,,MCSHPO,,regular,,,21,76,Cyprinidae,Cyprinus,carpio,CYPCAR,,2,2,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-13,13,,MCSHPO,,regular,,,21,93,Ictaluridae,Ictalurus,punctatus,ICTPUN,,3,3,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-13,13,,MCSHPO,,regular,,,21,212,Poeciliidae,Gambusia,affinis,GAMAFF,,1,1,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-14,14,,MCSHPO,,regular,,,21,76,Cyprinidae,Cyprinella,lutrensis,CYPLUT,,3,3,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-14,14,,MCSHPO,,regular,,,21,93,Ictaluridae,Ictalurus,punctatus,ICTPUN,,1,1,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-15,15,,MCSHRU,,regular,,,34,76,Cyprinidae,Cyprinella,lutrensis,CYPLUT,,9,9,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-15,15,,MCSHRU,,regular,,,34,76,Cyprinidae,Hybognathus,amarus,HYBAMA,52,1,1,,,0,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-15,15,,MCSHRU,,regular,,,34,212,Poeciliidae,Gambusia,affinis,GAMAFF,,1,1,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-16,16,,MCSHRU,,regular,,,30.25,76,Cyprinidae,Cyprinella,lutrensis,CYPLUT,,9,9,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-16,16,,MCSHRU,,regular,,,30.25,93,Ictaluridae,Ictalurus,punctatus,ICTPUN,,1,1,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-17,17,,MCSHRU,,regular,,,31.25,76,Cyprinidae,Cyprinella,lutrensis,CYPLUT,,10,10,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-17,17,,MCSHRU,,regular,,,31.25,76,Cyprinidae,Cyprinus,carpio,CYPCAR,,3,3,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-18,18,,MCSHPO,,regular,,,21.25,76,Cyprinidae,Cyprinella,lutrensis,CYPLUT,,1,1,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-18,18,,MCSHPO,,regular,,,21.25,76,Cyprinidae,Cyprinus,carpio,CYPCAR,,1,1,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-18,18,,MCSHPO,,regular,,,21.25,212,Poeciliidae,Gambusia,affinis,GAMAFF,,1,1,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-19,19,,BW,,larval,,,5,76,Cyprinidae,Cyprinella,lutrensis,CYPLUT,,2,2,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-19,19,,BW,,larval,,,5,212,Poeciliidae,Gambusia,affinis,GAMAFF,,15,15,,,,,,1
RKD19-131,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,58.5,"Rio Grande, ca. 10.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,307767,3716360,10/1/2019,2019,10,201910,13,0.43,,,,797,875,,RKD19-131-20,20,,MCSHPO,,larval,,,4.9,76,Cyprinidae,Cyprinella,lutrensis,CYPLUT,,1,1,,,,,,1
RKD19-132,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,60.1,"Rio Grande, ca. 8.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,309441,3718309,10/1/2019,2019,10,201910,13,0.43,,,,832,904,,RKD19-132-1,1,,MCRU,,regular,,,31.75,,,,,NO FISH,,,,,,,,,1
RKD19-132,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,60.1,"Rio Grande, ca. 8.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,309441,3718309,10/1/2019,2019,10,201910,13,0.43,,,,832,904,,RKD19-132-2,2,,MCRU,,regular,,,33,76,Cyprinidae,Cyprinella,lutrensis,CYPLUT,,1,1,,,,,,1
RKD19-132,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,60.1,"Rio Grande, ca. 8.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,309441,3718309,10/1/2019,2019,10,201910,13,0.43,,,,832,904,,RKD19-132-2,2,,MCRU,,regular,,,33,76,Cyprinidae,Hybognathus,amarus,HYBAMA,57,1,1,,,0,,,1
RKD19-132,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,60.1,"Rio Grande, ca. 8.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,309441,3718309,10/1/2019,2019,10,201910,13,0.43,,,,832,904,,RKD19-132-2,2,,MCRU,,regular,,,33,93,Ictaluridae,Ictalurus,punctatus,ICTPUN,,1,1,,,,,,1
RKD19-132,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,60.1,"Rio Grande, ca. 8.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,309441,3718309,10/1/2019,2019,10,201910,13,0.43,,,,832,904,,RKD19-132-3,3,,MCRU,,regular,,,31.25,76,Cyprinidae,Cyprinella,lutrensis,CYPLUT,,27,27,,,,,,1
RKD19-132,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,60.1,"Rio Grande, ca. 8.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,309441,3718309,10/1/2019,2019,10,201910,13,0.43,,,,832,904,,RKD19-132-4,4,,MCRU,,regular,,,27.75,76,Cyprinidae,Cyprinella,lutrensis,CYPLUT,,3,3,,,,,,1
RKD19-132,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,60.1,"Rio Grande, ca. 8.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,309441,3718309,10/1/2019,2019,10,201910,13,0.43,,,,832,904,,RKD19-132-4,4,,MCRU,,regular,,,27.75,93,Ictaluridae,Ictalurus,punctatus,ICTPUN,,1,1,,,,,,1
RKD19-132,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,60.1,"Rio Grande, ca. 8.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,309441,3718309,10/1/2019,2019,10,201910,13,0.43,,,,832,904,,RKD19-132-5,5,,BW,,regular,,,21,69,Clupeidae,Dorosoma,cepedianum,DORCEP,,1,1,,,,,,1
RKD19-132,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,60.1,"Rio Grande, ca. 8.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,309441,3718309,10/1/2019,2019,10,201910,13,0.43,,,,832,904,,RKD19-132-5,5,,BW,,regular,,,21,76,Cyprinidae,Cyprinella,lutrensis,CYPLUT,,52,52,,,,,,1
RKD19-132,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,60.1,"Rio Grande, ca. 8.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,309441,3718309,10/1/2019,2019,10,201910,13,0.43,,,,832,904,,RKD19-132-5,5,,BW,,regular,,,21,76,Cyprinidae,Hybognathus,amarus,HYBAMA,34,1,1,,,0,,,1
RKD19-132,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,60.1,"Rio Grande, ca. 8.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,309441,3718309,10/1/2019,2019,10,201910,13,0.43,,,,832,904,,RKD19-132-5,5,,BW,,regular,,,21,76,Cyprinidae,Hybognathus,amarus,HYBAMA,41,1,1,,,0,,,1
RKD19-132,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,60.1,"Rio Grande, ca. 8.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,309441,3718309,10/1/2019,2019,10,201910,13,0.43,,,,832,904,,RKD19-132-5,5,,BW,,regular,,,21,212,Poeciliidae,Gambusia,affinis,GAMAFF,,109,109,,,,,,1
RKD19-132,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,60.1,"Rio Grande, ca. 8.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,309441,3718309,10/1/2019,2019,10,201910,13,0.43,,,,832,904,,RKD19-132-6,6,,MCSHRU,,regular,,,31.75,76,Cyprinidae,Cyprinella,lutrensis,CYPLUT,,3,3,,,,,,1
RKD19-132,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,60.1,"Rio Grande, ca. 8.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,309441,3718309,10/1/2019,2019,10,201910,13,0.43,,,,832,904,,RKD19-132-7,7,,MCSHRU,,regular,,,31.75,76,Cyprinidae,Cyprinella,lutrensis,CYPLUT,,2,2,,,,,,1
RKD19-132,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,60.1,"Rio Grande, ca. 8.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,309441,3718309,10/1/2019,2019,10,201910,13,0.43,,,,832,904,,RKD19-132-7,7,,MCSHRU,,regular,,,31.75,212,Poeciliidae,Gambusia,affinis,GAMAFF,,1,1,,,,,,1
RKD19-132,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,60.1,"Rio Grande, ca. 8.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,309441,3718309,10/1/2019,2019,10,201910,13,0.43,,,,832,904,,RKD19-132-8,8,,MCSHRU,,regular,,,31.75,76,Cyprinidae,Cyprinella,lutrensis,CYPLUT,,17,17,,,,,,1
RKD19-132,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,60.1,"Rio Grande, ca. 8.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,309441,3718309,10/1/2019,2019,10,201910,13,0.43,,,,832,904,,RKD19-132-9,9,,MCSHRU,,regular,,,38.25,,,,,NO FISH,,,,,,,,,1
RKD19-132,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,60.1,"Rio Grande, ca. 8.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,309441,3718309,10/1/2019,2019,10,201910,13,0.43,,,,832,904,,RKD19-132-10,10,,MCSHRU,,regular,,,32.5,69,Clupeidae,Dorosoma,cepedianum,DORCEP,,1,1,,,,,,1
RKD19-132,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,60.1,"Rio Grande, ca. 8.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,309441,3718309,10/1/2019,2019,10,201910,13,0.43,,,,832,904,,RKD19-132-10,10,,MCSHRU,,regular,,,32.5,76,Cyprinidae,Cyprinella,lutrensis,CYPLUT,,32,32,,,,,,1
RKD19-132,RIO GRANDE,NEW MEXICO,SOCORRO,Paraje Well,San Acacia,60.1,"Rio Grande, ca. 8.0 mi downstream of San Marcial Railroad bridge crossing, San Marcial.",13,309441,3718309,10/1/2019,2019,10,201910,13,0.43,,,,832,904,,RKD19-132-10,10,,MCSHRU,,regular,,,32.5,76,Cyprinidae,Cyprinus,carpio,CYPCAR,,2,2,,,,,,1
